dialogue_id,turn_id,speaker,utterance,emotion,annotation
0,0,Phoebe,"Oh my God, he's lost it. He's totally lost it.",non-neutral,0002120
0,1,Monica,What?,surprise,1000130
0,2,Ross,"Or! Or, we could go to the bank, close our accounts and cut them off at the source.",neutral,3000200
0,3,Chandler,You're a genius!,joy,0500000
0,4,Joey,"Aww, man, now we won't be bank buddies!",sadness,0040100
0,5,Chandler,"Now, there's two reasons.",neutral,4000010
0,6,Phoebe,Hey.,neutral,3100010
0,7,All,Hey!,joy,1300010
0,8,Phoebe,"Ohh, you guys, remember that cute client I told you about? I bit him.",neutral,4100000
0,9,Rachel,Where?!,surprise,0000050
0,10,Phoebe,On the touchy.,neutral,5000000
0,11,Ross,And,neutral,3000020
0,12,Phoebe,"No, I know!",surprise,2000030
0,13,Phoebe,"I-I'm sorry, but the moment I touch him, I just wanna throw out my old oath and take a new, dirty one.",non-neutral,2200010
0,14,Monica,"Well, next time your massaging him, you should try and distract yourself.",neutral,3010010
0,15,Joey,Yeah! Yeah! Yeah! Like-like when I'm doing something exciting and I don't wanna get,joy,2300000
0,16,Chandler,"Thank you, Joey.",neutral,4100000
0,17,Joey,"No-no, thank you.",neutral,3100001
1,0,Joey,"Hey Estelle, listen",neutral,5000000
1,1,Estelle,Well! Well! Well! Joey Tribbiani! So you came back huh? They,surprise,0100130
1,2,Joey,What are you talkin' about? I never left you! You've always been my agent!,surprise,0200030
1,3,Estelle,Really?!,surprise,0100040
1,4,Joey,Yeah!,joy,2300000
1,5,Estelle,"Oh well, no harm, no foul.",neutral,5000000
1,6,Gary,"Okay, you guys free tonight?",neutral,5000000
1,7,Ross,Yeah!!,joy,0500000
1,8,Chandler,Tonight? You-you didn't say it was going to be at nighttime.,surprise,1001030
2,0,Ross,Yes? Yes?! How can I help you?,neutral,3000011
2,1,Guy,"Yeah, we werewe were just looking around.",neutral,5000000
2,2,Ross,"Oh-oh, you're-you're fellow scholars.",surprise,1000031
2,3,Ross,"What exactly were you looking for, hmm?",neutral,4000001
2,4,Ross,"Perhaps,  perhaps Dr. Chester Stock's musings on the Smiledon Californicus?",neutral,4000001
2,5,Guy,Uhh.,neutral,3000020
2,6,Ross,"Ah AhGet out of here!  Uh, meeting someone? Or-or are you just here to brush up on Marion's views on evolution?",non-neutral,1000211
2,7,Woman,"Uh, actually I find Marion's views far too progressionist.",neutral,4000010
2,8,Ross,I find Marion's views far too progressionist.,neutral,3000011
2,9,Woman,"I'm sorry, who are you?",surprise,1000040
2,10,Ross,"I'm a professor here uh, RossGeller.",neutral,3100010
2,11,Woman,"Ross Geller, why do I know that name? It's uhWait!  Did you write this?",surprise,1000040
2,12,Ross,Yes! You're the person who checked out my book?!,surprise,0000050
2,13,Woman,"Y'know, you look nothing like I would've thought. You'reyou're so young.",surprise,0100040
2,14,Ross,"Well I uh, I skipped forth grade.",neutral,4100000
3,0,Ross,You had no right to tell me you ever had feelings for me.,anger,0010400
3,1,Rachel,What?,surprise,0000050
3,2,Ross,I was doing great with Julie before I found out about you.,anger,0010400
3,3,Rachel,"Hey, I was doin' great before I found out about you. You think it's easy for me to see you with Julie?",anger,0020300
3,4,Ross,The point is I...,non-neutral,1021100
3,5,Ross,"I don't need this right now, OK.",anger,0000401
3,6,Ross,"It, it's too late, I'm with somebody else, I'm happy.",non-neutral,0220100
3,7,Ross,This ship has sailed.,non-neutral,2100200
3,8,Rachel,"Alright, fine, you go ahead and you do that, alright Ross.",non-neutral,1010201
3,9,Ross,Fine.,anger,1000301
3,10,Rachel,'Cause I don't need your stupid ship.,anger,0000500
3,11,Ross,Good.,anger,1000400
3,12,Rachel,Good.,anger,1000400
4,0,Phoebe,"Oh, it's so romantic to send people off on their honeymoon.",joy,0500000
4,1,Joey,"Y'know, Monica and Chandler are married. Ross and Rachel are having a baby. Maybe you and I should do something.",neutral,4010000
4,2,Phoebe,All in good time my love.,neutral,4100000
4,3,Phoebe,All in good time.,neutral,4100000
4,4,Phoebe,Oh shoot!,surprise,1000040
4,5,Phoebe,I left my guitar in their apartment.,non-neutral,1020011
4,6,Phoebe,Well you can let me in later.,neutral,5000000
4,7,Joey,"I don't have a key, they took mine to give to you.",neutral,4000010
4,8,Phoebe,What?! They took mine to give to you!,surprise,0000050
4,9,Joey,Why would they take away our keys?,surprise,0010040
4,10,Ross,Wow! It looks like we got a lot of good stuff.,joy,0400010
4,11,Rachel,"Oh we did, but my mom got us the greatest gift of all.",joy,1400000
4,12,Ross,A,neutral,5000000
4,13,Rachel,No. She's going to live with us for eight weeks.,neutral,4100000
4,14,Ross,"Uh, what?",surprise,0000050
4,15,Rachel,Yes! She's gonna help us take care of the baby! Woo-hoo.,joy,0500000
4,16,Ross,WhatYou're not serious.,non-neutral,0001112
4,17,Ross,"I mean she's a very nice woman, but there is no way we can take eight weeks of her.",non-neutral,1001012
4,18,Ross,She'll drive us totally crazy.,disgust,0001004
4,19,Mrs. Green,Hi Ross!,joy,0400010
4,20,Ross,Hi roomie!,joy,0500000
5,0,Monica,Hey! What did you decide to do about the movie?,neutral,5000000
5,1,Joey,I don't know!,neutral,4001000
5,2,Joey,It's not like it's porn!,neutral,3000002
5,3,Joey,"This is a serious, legitimate movie.",neutral,5000000
5,4,Joey,Y'know?,neutral,4001000
5,5,Joey,And the nudity is really important to the story.,neutral,5000000
5,6,Monica,That's what you say about porn.,neutral,4000010
5,7,Joey,You're right. Maybe I shouldn't even go on the call back.,neutral,3010001
5,8,Monica,"No! No you should! A lot of major actors do nude scenes! I mean, the chance to star in a movie? Come on!",non-neutral,2100020
5,9,Joey,Well that's true.,neutral,4000010
5,10,Joey,And I am only naked in one scene.,neutral,4000010
5,11,Joey,Plus it sounds really great.,neutral,3200000
5,12,Joey,My character's catholic and he falls in love with this Jewish girl.,neutral,4100000
5,13,Joey,Who run away together and they get caught in this big rainstorm.,neutral,4100000
5,14,Joey,So we go into this barn and undress each other and hold each other.,neutral,5000000
5,15,Joey,It's really sweet and-and tender.,joy,2300000
6,0,Joey,"Hey, what's up?",neutral,5000000
6,1,Chandler,"Nothing, Monica and I had a stupid fight.",sadness,0040100
6,2,Joey,"But you're still moving in together, right? Because my ad came out today.",neutral,3001010
6,3,Chandler,"""Wanted. Female roommate, non-smoker, non-ugly."" Nice!",joy,2300000
6,4,Joey,Yeah?,neutral,4000010
6,5,Joey,"I just figured y'know, after living with you it'd be an interesting change of pace to have a female roommate, y'know?",neutral,4100000
6,6,Joey,"Someone I can learn from, someone-someone who's different than me.",neutral,4100000
6,7,Joey,And what's more different than me; a guy who's,neutral,4100000
7,0,Ross,So where are we going next?,neutral,5000000
7,1,Gary,This witness won't return my calls so we're gonna see if we can surprise him coming home.,neutral,4000001
7,2,Chandler,"Sur-surprise him? We're not, we're not gonna make anybody mad are we?",fear,0004010
7,3,Joey,"Come on man!  Listen so uh, are you gonna squeeze the perps shoes a little bit before he lawyers up?",non-neutral,2101001
7,4,Gary,It's a witness not a perp. And no one talks like that!,non-neutral,2000102
7,5,Ross,"Yeah, no one talks like that!",non-neutral,2000012
7,6,Joey,Oh what? Like your Mr. Cop!,anger,1000301
7,7,Ross,"Hey, I'm more cop than you two!",anger,1000301
7,8,Chandler,How do you figure that?,non-neutral,1000121
7,9,Ross,"Hello! I'm in the front seat, okay? I'm Gary's partner!",neutral,4100000
7,10,Phoebe,I guess so.,neutral,5000000
7,11,Rachel,Here you go. Thank you!,neutral,3100100
7,12,Phoebe,"Wait, Rach! Where's the other one?",neutral,3000020
7,13,Rachel,"Oh what, you-you want both of them?",surprise,1000040
7,14,Phoebe,"Rachel Karen Green, where's the other earring?!",anger,1000400
7,15,Rachel,"Okay, okay, okay, look, just don't freak out, but I kinda lost it.",fear,0013001
7,16,Rachel,"I know it's in the apartment, but I",neutral,3011000
